date,unix,open,high,low,close,volume
2020-08-18 07:00:00,1597734000000,430.0,435.0,410.0,430.3,487.15446323
2020-08-18 08:00:00,1597737600000,430.27,431.79,430.27,430.8,454.17615317
2020-08-18 09:00:00,1597741200000,430.86,431.13,428.71,429.35,1183.71088374
2020-08-18 10:00:00,1597744800000,429.75,432.69,428.59,431.9,1686.18322729
2020-08-18 11:00:00,1597748400000,432.09,432.89,426.99,427.45,1980.69272391
2020-08-18 12:00:00,1597752000000,427.88,431.05,427.38,430.28,2706.37300565
2020-08-18 13:00:00,1597755600000,430.49,431.23,421.41,425.49,3938.59574927
2020-08-18 14:00:00,1597759200000,425.32,426.39,410.01,421.7,5225.49491692
2020-08-18 15:00:00,1597762800000,421.67,424.29,415.0,418.34,1016.17284377
2020-08-18 16:00:00,1597766400000,418.55,423.71,415.94,422.93,590.3813972
2020-08-18 17:00:00,1597770000000,422.93,424.0,421.63,422.24,512.57658052
2020-08-18 18:00:00,1597773600000,422.15,424.07,421.42,422.37,505.33386018
2020-08-18 19:00:00,1597777200000,422.38,425.31,422.37,422.9,376.03901391
2020-08-18 20:00:00,1597780800000,422.91,428.02,422.9,425.81,482.49808034
2020-08-18 21:00:00,1597784400000,425.78,427.66,425.78,426.4,494.39172174
2020-08-18 22:00:00,1597788000000,426.39,428.88,424.22,424.76,1138.67985335
2020-08-18 23:00:00,1597791600000,424.85,424.98,421.83,422.02,394.50767385
2020-08-19 00:00:00,1597795200000,422.72,425.0,421.5,424.63,493.95716655
2020-08-19 01:00:00,1597798800000,424.84,426.42,422.78,423.64,418.23288725
2020-08-19 02:00:00,1597802400000,423.62,423.62,420.07,420.8,289.35892699
2020-08-19 03:00:00,1597806000000,420.75,422.33,416.45,416.46,477.07268145
2020-08-19 04:00:00,1597809600000,416.46,417.31,406.1,412.63,9106.22273688
2020-08-19 05:00:00,1597813200000,412.66,414.2,407.55,409.3,3537.81353063
2020-08-19 06:00:00,1597816800000,409.08,410.6,403.0,409.74,7301.03509657
2020-08-19 07:00:00,1597820400000,409.5,414.12,408.59,413.83,2987.17042299
2020-08-19 08:00:00,1597824000000,413.87,415.62,412.03,412.87,2366.34935796
2020-08-19 09:00:00,1597827600000,412.9,416.66,412.88,413.86,2856.95153345
2020-08-19 10:00:00,1597831200000,413.84,414.53,410.11,413.22,2306.07979358
2020-08-19 11:00:00,1597834800000,413.3,416.57,412.01,414.26,2363.71850091
2020-08-19 12:00:00,1597838400000,414.09,415.04,411.88,413.48,1515.77805318
2020-08-19 13:00:00,1597842000000,413.44,416.18,410.06,412.93,2042.20929799
2020-08-19 14:00:00,1597845600000,412.94,414.89,408.03,409.1,1781.87609738
2020-08-19 15:00:00,1597849200000,409.07,412.05,406.64,410.32,2982.68326664
2020-08-19 16:00:00,1597852800000,410.1,412.68,402.5,408.6,3342.74721312
2020-08-19 17:00:00,1597856400000,408.59,409.71,405.03,409.03,1776.27892068
2020-08-19 18:00:00,1597860000000,409.06,409.18,400.76,405.61,5577.97956933
2020-08-19 19:00:00,1597863600000,405.73,406.56,396.82,397.04,7800.68337348
2020-08-19 20:00:00,1597867200000,397.07,406.12,394.9,405.9,4037.74170173
2020-08-19 21:00:00,1597870800000,405.93,410.4,404.27,406.58,1875.58667304
2020-08-19 22:00:00,1597874400000,406.85,410.13,406.2,408.38,1942.7116822
2020-08-19 23:00:00,1597878000000,408.5,409.76,406.49,408.5,2105.57105592
2020-08-20 00:00:00,1597881600000,408.45,416.19,408.45,412.79,3628.96650474
2020-08-20 01:00:00,1597885200000,413.09,414.8,410.85,411.14,1484.18149759
2020-08-20 02:00:00,1597888800000,411.18,412.22,407.11,408.74,1637.85224136
2020-08-20 03:00:00,1597892400000,408.9,410.52,406.94,407.66,846.33309392
2020-08-20 04:00:00,1597896000000,407.68,409.13,404.78,405.89,1274.23162544
2020-08-20 05:00:00,1597899600000,405.82,405.82,403.25,404.47,1077.14036855
2020-08-20 06:00:00,1597903200000,404.47,409.55,402.64,408.13,882.48194686
2020-08-20 07:00:00,1597906800000,408.13,408.43,403.51,404.77,935.43714521
2020-08-20 08:00:00,1597910400000,404.81,407.97,403.69,407.89,1283.18938954
2020-08-20 09:00:00,1597914000000,407.87,411.81,406.95,410.14,909.29172195
2020-08-20 10:00:00,1597917600000,410.16,411.06,408.0,410.01,1040.93568397
2020-08-20 11:00:00,1597921200000,410.2,412.49,407.08,412.07,1448.15573882
2020-08-20 12:00:00,1597924800000,412.46,414.5,409.52,409.88,1384.86926797
2020-08-20 13:00:00,1597928400000,409.64,413.93,409.13,413.93,1477.51907818
2020-08-20 14:00:00,1597932000000,413.64,415.76,411.74,415.32,1376.62287057
2020-08-20 15:00:00,1597935600000,415.24,416.91,413.25,416.56,2756.85999904
2020-08-20 16:00:00,1597939200000,416.41,419.0,414.64,416.65,3462.31855686
2020-08-20 17:00:00,1597942800000,416.6,418.11,414.26,414.54,1349.25543203
2020-08-20 18:00:00,1597946400000,414.28,417.41,414.16,416.96,1079.26979756
2020-08-20 19:00:00,1597950000000,416.91,417.92,414.38,414.65,996.20435376
2020-08-20 20:00:00,1597953600000,414.58,417.77,414.58,416.91,1192.51349885
2020-08-20 21:00:00,1597957200000,416.95,420.29,416.74,417.18,1215.9294458
2020-08-20 22:00:00,1597960800000,416.97,418.53,415.01,415.39,2097.58736508
2020-08-20 23:00:00,1597964400000,415.46,417.7,414.96,416.76,1004.79665677
2020-08-21 00:00:00,1597968000000,416.9,419.5,415.17,416.0,1336.53225394
2020-08-21 01:00:00,1597971600000,416.0,416.09,410.05,411.9,1272.52718211
2020-08-21 02:00:00,1597975200000,411.71,413.41,410.2,410.97,899.49578817
2020-08-21 03:00:00,1597978800000,410.97,416.87,410.0,416.31,987.79665151
2020-08-21 04:00:00,1597982400000,416.31,417.13,414.38,415.71,1096.44989586
2020-08-21 05:00:00,1597986000000,415.71,416.73,413.85,414.48,890.10696217
2020-08-21 06:00:00,1597989600000,414.33,414.9,413.06,413.69,823.18061602
2020-08-21 07:00:00,1597993200000,413.63,415.42,412.44,413.22,960.00137304
2020-08-21 08:00:00,1597996800000,413.2,413.27,409.08,412.2,1056.22575586
2020-08-21 09:00:00,1598000400000,412.2,412.87,408.24,408.53,1381.6740794
2020-08-21 10:00:00,1598004000000,408.51,409.38,405.04,408.71,3182.41279878
2020-08-21 11:00:00,1598007600000,408.75,409.05,403.55,404.99,1754.0532386
2020-08-21 12:00:00,1598011200000,404.92,407.42,399.04,406.48,2799.78478091
2020-08-21 13:00:00,1598014800000,406.33,407.73,401.28,401.81,1543.94033437
2020-08-21 14:00:00,1598018400000,401.78,406.95,400.49,405.3,1876.38082877
2020-08-21 15:00:00,1598022000000,405.12,407.25,403.1,405.01,1703.59645193
2020-08-21 16:00:00,1598025600000,404.87,407.16,402.1,402.17,3485.3558057
2020-08-21 17:00:00,1598029200000,401.55,407.94,400.61,404.51,4412.64416052
2020-08-21 18:00:00,1598032800000,404.36,404.78,395.39,398.85,6319.39622276
2020-08-21 19:00:00,1598036400000,398.82,402.75,398.22,398.22,2916.99968654
2020-08-21 20:00:00,1598040000000,398.29,402.22,395.66,395.66,1713.65962787
2020-08-21 21:00:00,1598043600000,395.66,396.96,383.88,388.42,3178.29407261
2020-08-21 22:00:00,1598047200000,388.44,394.84,387.04,389.73,1611.22409838
2020-08-21 23:00:00,1598050800000,389.88,392.58,385.18,388.42,3240.67008175
2020-08-22 00:00:00,1598054400000,388.22,388.65,380.38,382.33,4936.67207434
2020-08-22 01:00:00,1598058000000,382.32,385.24,377.74,384.7,4104.66690018
2020-08-22 02:00:00,1598061600000,384.67,386.88,383.06,384.81,2063.50058227
2020-08-22 03:00:00,1598065200000,384.97,386.48,383.04,385.0,1010.74220071
2020-08-22 04:00:00,1598068800000,384.81,385.0,381.05,381.96,1450.78085224
2020-08-22 05:00:00,1598072400000,382.22,386.27,382.22,385.9,2074.50486889
2020-08-22 06:00:00,1598076000000,385.9,392.31,385.9,392.11,3634.01076517
2020-08-22 07:00:00,1598079600000,392.1,392.33,388.83,391.15,2550.48219953
2020-08-22 08:00:00,1598083200000,391.15,395.34,390.07,392.89,2640.47859841
2020-08-22 09:00:00,1598086800000,393.0,393.23,390.65,392.59,1305.77580055
2020-08-22 10:00:00,1598090400000,392.87,394.23,390.89,391.32,1465.65401791
2020-08-22 11:00:00,1598094000000,391.48,391.85,388.7,390.24,1687.66467673
2020-08-22 12:00:00,1598097600000,390.38,393.64,390.38,391.93,1998.09910221
2020-08-22 13:00:00,1598101200000,391.84,392.79,389.44,391.8,1517.05831727
2020-08-22 14:00:00,1598104800000,391.81,393.26,389.19,391.93,1622.35588951
2020-08-22 15:00:00,1598108400000,392.0,394.03,390.35,390.51,1209.03293848
2020-08-22 16:00:00,1598112000000,390.47,391.58,388.51,390.66,1293.00735093
2020-08-22 17:00:00,1598115600000,390.81,391.89,388.94,391.41,1002.36503845
2020-08-22 18:00:00,1598119200000,391.48,391.97,390.08,390.61,1002.95219618
2020-08-22 19:00:00,1598122800000,390.83,390.97,388.78,389.25,654.67541671
2020-08-22 20:00:00,1598126400000,389.5,389.63,387.06,388.63,928.64451275
2020-08-22 21:00:00,1598130000000,388.62,393.17,388.27,392.97,775.53348555
2020-08-22 22:00:00,1598133600000,392.97,394.29,391.8,392.86,2420.81947616
2020-08-22 23:00:00,1598137200000,392.83,398.04,392.03,396.32,4463.03328099
2020-08-23 00:00:00,1598140800000,396.28,397.95,392.63,394.25,2017.30800406
2020-08-23 01:00:00,1598144400000,394.39,394.94,392.72,394.14,1590.81568354
2020-08-23 02:00:00,1598148000000,394.14,394.46,390.59,392.06,2132.71657456
2020-08-23 03:00:00,1598151600000,391.92,392.84,389.44,390.59,1535.9223099
2020-08-23 04:00:00,1598155200000,390.6,391.17,389.42,390.02,1160.34319063
2020-08-23 05:00:00,1598158800000,390.02,390.04,387.78,389.16,1638.35730655
2020-08-23 06:00:00,1598162400000,389.07,393.02,388.87,392.29,2060.83274502
2020-08-23 07:00:00,1598166000000,392.23,393.1,391.25,391.71,2357.26851684
2020-08-23 08:00:00,1598169600000,391.81,392.08,389.55,389.94,1514.63474873
2020-08-23 09:00:00,1598173200000,389.86,391.7,389.33,390.82,932.08926347
2020-08-23 10:00:00,1598176800000,390.75,390.79,386.17,387.04,1346.09274345
2020-08-23 11:00:00,1598180400000,387.23,388.97,383.4,384.2,2078.38140078
2020-08-23 12:00:00,1598184000000,384.17,387.7,383.49,387.41,1203.53497237
2020-08-23 13:00:00,1598187600000,387.38,393.26,385.73,389.18,1826.46318827
2020-08-23 14:00:00,1598191200000,389.22,390.51,388.48,390.22,1249.18683421
2020-08-23 15:00:00,1598194800000,390.05,394.04,389.48,393.52,2910.69698599
2020-08-23 16:00:00,1598198400000,393.52,393.61,390.16,390.91,1934.44624281
2020-08-23 17:00:00,1598202000000,390.96,392.2,389.64,390.81,1469.08517575
2020-08-23 18:00:00,1598205600000,390.87,393.67,390.3,392.82,1846.14173432
2020-08-23 19:00:00,1598209200000,392.7,395.01,391.09,394.16,2191.27171074
2020-08-23 20:00:00,1598212800000,394.35,395.96,392.89,393.34,1579.10737548
2020-08-23 21:00:00,1598216400000,393.34,393.81,392.08,393.65,602.14647506
2020-08-23 22:00:00,1598220000000,393.8,394.09,390.87,391.48,883.51457284
2020-08-23 23:00:00,1598223600000,391.6,393.32,390.57,390.94,1240.87917974
2020-08-24 00:00:00,1598227200000,391.16,391.63,387.73,390.21,1638.14856782
