unix,account_value_dqn,daily_return_dqn,account_value_dqn_overfitting,daily_return_dqn_overfitting,account_value_a2c,daily_return_a2c,account_value_ppo,daily_return_ppo
1694131200,1000.0,,1000.0,,1000.0,,1000.0,
1694390400,1006.5218991035867,0.0065218991035866924,1002.4406159751378,0.002440615975137783,1006.5218991035867,0.0065218991035866924,1000.0,0.0
1694476800,992.2125075994526,-0.014216671805032943,1006.6960387045798,0.004245062162911761,989.3499848336982,-0.017060646455066664,1016.0092309319842,0.016009230931984142
1694563200,993.908189655314,0.0017089908087974948,1010.7609273502103,0.004037851038791507,977.6214663458821,-0.011854771989295076,1028.7891650883573,0.012578561067452254
1694649600,999.3343929333145,0.005459461280706623,1030.4787758895027,0.019507925173744445,986.2074234808264,0.008782496529087691,1037.617840993164,0.00858161827943471
1694736000,990.1098784095794,-0.009230658515272938,1024.2709893719348,-0.006024176977550422,982.1107907766277,-0.0041539260470576655,1034.6229969452363,-0.0028862688454365237
1694995200,986.4341156815851,-0.0037124796026666296,1031.5999686287817,0.00715531273744352,998.7215823068605,0.016913358132535583,1042.2345072909852,0.0073567960196343485
1695081600,995.9581476977788,0.00965501077546671,1031.4967983881982,-0.00010000992993497437,1004.8945318416977,0.006180851244426799,1048.467302274049,0.005980223202611379
1695168000,1018.4598231238713,0.02259299296672901,1054.6936102127654,0.02248849619389448,984.8044881891248,-0.01999219123598317,1043.3739861867016,-0.004857868315302105
1695254400,1001.8045129164268,-0.01635342880424917,1037.5803589478908,-0.01622580349322711,976.0501000410715,-0.008889468166570769,1027.2205122654907,-0.015481959618571906
1695340800,992.9701448759492,-0.008818455024482974,1034.0642745009354,-0.0033887345848765404,980.8762008696602,0.0049445216268977354,1032.0936638044082,0.004744016966882647
1695600000,989.8653919480748,-0.003126733410763638,1032.1203477331185,-0.0018798896894055561,988.1153949267308,0.00738033408360006,1032.8984202409354,0.0007797319804878633
1695686400,966.5084316841236,-0.023596097463296828,1032.0171253566648,-0.00010001001983961366,964.9950487205671,-0.023398427273646605,1008.526048487708,-0.02359609742412261
1695772800,958.513217038167,-0.008272265801163359,1041.5067819898206,0.009195251125194481,956.409005957248,-0.008897499292564004,1008.4251855528428,-0.00010001024268679881
1695859200,959.7836762087069,0.001325447732964724,1038.692658814409,-0.0027019729723076757,957.8681134627776,0.0015256103784480057,1008.4251855528428,0.0
1695945600,957.4542719267338,-0.002427009689490278,1038.5887791334599,-0.0001000100270928117,960.786242845462,0.003046483478957418,1008.4251855528428,0.0
1696204800,971.4657043301283,0.014634048658218157,1029.0181073406982,-0.009215073362093262,975.0400277326661,0.014835542237771948,996.6986219654353,-0.01162859055426968
1696291200,963.9168473513007,-0.007770585153114573,1008.5390286067144,-0.01990157275940274,967.4641429061272,-0.007769819300809222,988.6752487325059,-0.00804994915825985
1696377600,980.0824981426621,0.016770793907983084,1025.65645837111,0.01697250109204318,974.5349915784635,0.00730864159068112,1006.0477847748244,0.0175715292403551
1696464000,986.9403738025961,0.006997243265674413,1028.7227249530008,0.0029895649336235675,981.5496680369719,0.007197972898999261,1004.482200710167,-0.001556172667293132
1696550400,1001.4996374500171,0.014751918184606527,1043.6895791950174,0.014548968229218806,996.0279705227382,0.014750453244736894,1011.4730436138051,0.0069596483628038275
1696809600,1009.9643196096432,0.008452007213081592,1051.644295852718,0.007621726628559422,1004.4455822729482,0.008451180086631815,1007.8841469196709,-0.0035481881764359846
1696896000,1009.1231889354477,-0.0008328320692760904,1066.3427863816005,0.013976674990629157,1001.0785033215143,-0.003352176574677679,1029.5991358489514,0.021545124006213
1696982400,1016.8967177827037,0.007703250636283965,1070.4409895238862,0.003843232396396612,1008.9910789175217,0.007904051050695804,1023.5006040664895,-0.00592320988831585
1697068800,1002.5663141972236,-0.014092290136137775,1075.6615997695703,0.004877064963670907,1014.0977839301257,0.005061199369654101,1023.3982439262298,-0.0001000098484094103
