,date,account_value,daily_return,datadate
0,2023-09-08,1000.0,,2023-09-08
1,2023-09-11,1008.7261943827328,0.0087261943827328,2023-09-11
2,2023-09-12,1008.6253217632944,-9.9999999999989e-05,2023-09-12
3,2023-09-13,1008.6253217632944,0.0,2023-09-13
4,2023-09-14,1014.0299019356968,0.0053583625711022,2023-09-14
5,2023-09-15,1007.7196102971868,-0.0062229837862415,2023-09-15
6,2023-09-18,1008.7766752574972,0.0010489673412217,2023-09-18
7,2023-09-19,1003.9219724888064,-0.0048124653233598,2023-09-19
8,2023-09-20,1030.8761030607056,0.0268488301985041,2023-09-20
9,2023-09-21,1026.6852916914638,-0.0040652910245946,2023-09-21
10,2023-09-22,1030.906519739927,0.0041115111735055,2023-09-22
11,2023-09-25,1029.1743751492938,-0.0016802149927911,2023-09-25
12,2023-09-26,1037.375184314183,0.0079683378860839,2023-09-26
13,2023-09-27,1037.11252299541,-0.0002531979969679,2023-09-27
14,2023-09-28,1043.998897603697,0.006639949335871,2023-09-28
15,2023-09-29,1036.0569110873105,-0.0076072748109371,2023-09-29
16,2023-10-02,1026.611286342731,-0.0091168975791745,2023-10-02
17,2023-10-03,1006.1780429084492,-0.0199035834751777,2023-10-03
18,2023-10-04,1023.2571612559316,0.0169742506983292,2023-10-04
19,2023-10-05,1021.8691784564024,-0.0013564359499087,2023-10-05
20,2023-10-06,1046.9402969692535,0.0245345676740371,2023-10-06
21,2023-10-09,1055.577894891671,0.0082503252071026,2023-10-09
22,2023-10-10,1055.4723266317565,-0.0001000099191401,2023-10-10
23,2023-10-11,1063.708452300672,0.0078032606455906,2023-10-11
24,2023-10-12,1068.8962379762854,0.0048770747890485,2023-10-12
25,2023-10-13,1057.6124529343929,-0.0105564830719732,2023-10-13
26,2023-10-16,1068.197943544258,0.0100088558720117,2023-10-16
27,2023-10-17,1058.8254290694165,-0.0087741364149642,2023-10-17
28,2023-10-18,1058.7195358434722,-0.0001000100895169,2023-10-18
29,2023-10-19,1047.48929619217,-0.0106073792643819,2023-10-19
30,2023-10-20,1040.8071338610457,-0.0063792177690171,2023-10-20
31,2023-10-23,1019.342189733842,-0.0206233637615221,2023-10-23
32,2023-10-24,1030.7652639294238,0.0112063194387788,2023-10-24
33,2023-10-25,1015.9824821333444,-0.0143415599199814,2023-10-25
34,2023-10-26,1006.8365038490152,-0.0090021023444465,2023-10-26
35,2023-10-27,1010.3587547624973,0.0034983345359618,2023-10-27
36,2023-10-30,1016.4135545651976,0.0059927226583229,2023-10-30
37,2023-10-31,1016.3119031051466,-0.0001000099414203,2023-10-31
38,2023-11-01,1036.6378051167785,0.0199996693431709,2023-11-01
39,2023-11-02,1050.1764960551109,0.0130601940923884,2023-11-02
40,2023-11-03,1062.846611855161,0.0120647489709055,2023-11-03
41,2023-11-06,1078.1555269908251,0.0144036919014522,2023-11-06
42,2023-11-07,1078.0477008086098,-0.0001000098589822,2023-11-07
43,2023-11-08,1078.0477008086098,0.0,2023-11-08
44,2023-11-09,1067.6723880098746,-0.0096241685696774,2023-11-09
45,2023-11-10,1067.5656207710736,-9.9999999999989e-05,2023-11-10
46,2023-11-13,1067.5656207710736,0.0,2023-11-13
47,2023-11-14,1067.5656207710736,0.0,2023-11-14
48,2023-11-15,1084.6023512243046,0.0159584854755119,2023-11-15
49,2023-11-16,1068.3779990565113,-0.01495880232002,2023-11-16
50,2023-11-17,1061.9378619333138,-0.0060279574540891,2023-11-17
51,2023-11-20,1073.278839533882,0.0106795114922462,2023-11-20
52,2023-11-21,1062.8319418695112,-0.0097336286522782,2023-11-21
53,2023-11-22,1071.0432915227148,0.0077259153867355,2023-11-22
54,2023-11-24,1070.9361765641695,-0.0001000099243353,2023-11-24
55,2023-11-27,1073.5204030137504,0.0024130536498183,2023-11-27
56,2023-11-28,1076.7557365505995,0.0030137606400089,2023-11-28
57,2023-11-29,1080.9196995916882,0.0038671380144468,2023-11-29
58,2023-11-30,1093.2465278557363,0.011404018511925,2023-11-30
59,2023-12-01,1095.061404633864,0.0016600800751567,2023-12-01
60,2023-12-04,1095.2040685422276,0.0001302793685906,2023-12-04
61,2023-12-05,1088.492435981104,-0.0061282027285172,2023-12-05
62,2023-12-06,1087.161454976542,-0.001222774693296,2023-12-06
63,2023-12-07,1097.96600349343,0.0099383108805315,2023-12-07
64,2023-12-08,1088.8845521049857,-0.0082711589972274,2023-12-08
65,2023-12-11,1121.0038588496882,0.029497440001891,2023-12-11
66,2023-12-12,1127.2698442727185,0.0055896198514961,2023-12-12
67,2023-12-13,1158.4331695709975,0.0276449560472229,2023-12-13
68,2023-12-14,1136.6297490983168,-0.0188214745963767,2023-12-14
69,2023-12-15,1136.346484145265,-0.0002492147977617,2023-12-15
70,2023-12-18,1144.5493074327835,0.0072185934501205,2023-12-18
71,2023-12-19,1144.434841137439,-0.0001000099293244,2023-12-19
72,2023-12-20,1136.2267831935078,-0.0071721496487937,2023-12-20
73,2023-12-21,1145.1788028027777,0.0078787260973631,2023-12-21
74,2023-12-22,1153.9351667479048,0.0076462853867853,2023-12-22
75,2023-12-26,1152.6486095178873,-0.0011149302552615,2023-12-26
76,2023-12-27,1152.5333331164386,-0.0001000100121553,2023-12-27
77,2023-12-28,1154.9836968367554,0.0021260675504204,2023-12-28
78,2023-12-29,1151.92390821084,-0.0026492050357901,2023-12-29
79,2024-01-02,1110.4741621712203,-0.0359830590754897,2024-01-02
80,2024-01-03,1102.1585052755026,-0.0074883839525439,2024-01-03
81,2024-01-04,1111.0274625763427,0.0080468982078245,2024-01-04
